timestamp,flow1,flow2,flow3,pressure,diff12,diff23,ratio12,ratio23,flag_old,zone_old,severity_old,status_old,extra,operating_state,flow1_cal,flow2_cal,flow3_cal,diff12_cal,diff23_cal,ratio12_cal,ratio23_cal,zone_new,severity_new
2026-04-04 21:21:26,2.13,2.58,2.18,1.0,0.45,0.4,1.211267606,0.8449612403,0.0,NORMAL,MEDIUM,Flow imbalance,,ACTIVE_FLOW,2.13,1.9717050691244244,1.8550811455847256,0.1582949308755754,0.1166239235396988,1.0802832702285792,1.062867289561578,LEAK_1_2,MEDIUM
2026-04-04 21:57:35,2.02,2.76,2.79,0.9887847818604028,0.74,0.03,1.366336634,1.010869565,1.0,LEAK_1_2,HIGH,Leak detected at LEAK_1_2,,ACTIVE_FLOW,1.9640938279535956,2.159990083384218,2.5433747607229855,0.0894300605136863,0.2962271382737975,0.8764646333224431,0.9028466396719936,LEAK_2_3,MEDIUM
2026-04-04 21:27:24,1.3,1.88,1.55,1.0246044435130157,0.58,0.33,1.446153846,0.8244680851,1.0,LEAK_1_2,HIGH,Leak detected at LEAK_1_2,,ACTIVE_FLOW,1.2700016227847963,1.3837355515668694,1.2750283520246672,0.13743546990072517,0.11388179759655068,0.9029835903585736,1.047244350234684,NORMAL,LOW
2026-04-04 21:59:56,1.66,2.27,2.38,1.0,0.61,0.11,1.36746988,1.04845815,1.0,LEAK_1_2,HIGH,Leak detected at LEAK_1_2,,ACTIVE_FLOW,1.66,1.734794770121102,2.025272076372315,0.074794770121102,0.2904773062512129,0.956885522478327,0.856573687239337,LEAK_2_3,MEDIUM
2026-04-04 21:22:21,1.35,1.96,1.37,0.9837799827274231,0.61,0.59,1.451851852,0.6989795918,1.0,LEAK_1_2,HIGH,Leak detected at LEAK_1_2,,ACTIVE_FLOW,1.3772693130649447,1.4577967245063022,1.1882784058901046,0.1397857960472813,0.3529578879389473,0.8676583394300911,1.3077095041758593,LEAK_2_3,HIGH
2026-04-04 21:46:38,0.94,1.57,1.49,1.0,0.63,0.08,1.670212766,0.949044586,1.0,LEAK_1_2,HIGH,Leak detected at LEAK_1_2,,ACTIVE_FLOW,0.94,1.1998360304361808,1.2679224343675417,0.2598360304361808,0.0680864039313609,0.7834403836483209,0.9463008129788922,LEAK_1_2,MEDIUM
2026-04-04 21:27:32,1.29,1.91,1.5,1.0,0.62,0.41,1.480620155,0.7853403141,1.0,LEAK_1_2,HIGH,Leak detected at LEAK_1_2,,ACTIVE_FLOW,1.29,1.4596731325688568,1.2764319809069211,0.1696731325688567,0.1832411516619356,0.8837595015054832,1.1435573179009042,LEAK_2_3,MEDIUM
2026-04-04 21:59:22,0.0,0.36,0.0,1.0,0.36,0.36,1.0,0.0,0.0,NORMAL,MEDIUM,Flow imbalance,,LOW_FLOW,0.0,0.2751216375522452,0.0,0.2751216375522452,0.2751216375522452,0.0,,LEAK_2_3,MEDIUM
2026-04-04 22:00:23,0.03,0.04,0.04,1.0,0.01,0.0,1.0,1.0,0.0,NORMAL,LOW,Normal,,NO_FLOW,0.03,0.0305690708391383,0.0340381861575179,0.0005690708391383,0.0034691153183795,0.9813840976020192,0.8980816632729614,NORMAL,LOW
2026-04-04 21:28:06,0.43,0.73,0.43,1.0,0.3,0.3,1.697674419,0.5890410959,0.0,NORMAL,LOW,Normal,,LOW_FLOW,0.43,0.557885542814275,0.3659105011933174,0.127885542814275,0.1919750416209576,0.7707674191212206,1.5246502655564225,LEAK_2_3,MEDIUM
